10us,Module,Name,DemangledName,Type,Attributes,Comment
0x8D2460,,PLAYER_SPRINT_SET,PLAYER_SPRINT_SET,tPlayerSprintSet[4],array,
0x8D24F0,,flt_8D24F0,flt_8D24F0,float[],array,
0x8D2530,,_ZN11CPopulation20PedDensityMultiplierE,CPopulation::PedDensityMultiplier,float,,
0x8D2540,,_ZN11CPopulation18m_TranslationArrayE,CPopulation::m_TranslationArray,tPedGroupTranslationData[33],array,
0x8D26D0,,_ZN17BoneNodeManager_c12ms_boneInfosE,BoneNodeManager_c::ms_boneInfos,tBoneInfo[32],array,
0x8D2BD8,,aBlock,aBlock,char[],array,
0x8D2BE4,,aThisFileIsNotV,aThisFileIsNotV,char[],array,
0x8D2D00,,_KeysShifted,_KeysShifted,char[256],array,
0x8D2E00,,_Xaxis,_Xaxis,RwV3d,,
0x8D2E0C,,_Yaxis,_Yaxis,RwV3d,,
0x8D2E24,,_ViewsFileName,_ViewsFileName,char[],array,
0x8D2E30,,_CurrentPresetView,_CurrentPresetView,int,,
0x8D2E3C,,dword_8D2E3C,dword_8D2E3C,int[],array,
0x8D2E58,,dword_8D2E58,dword_8D2E58,int,,
0x8D2E5C,,dword_8D2E5C,dword_8D2E5C,int,,
0x8D2E7C,,f_0_2667,f_0_2667,float,,
0x8D2F68,,JETPACK_POS_OFFSET,JETPACK_POS_OFFSET,RwV3d,,
0x8D2F74,,JETPACK_ROT_AXIS,JETPACK_ROT_AXIS,RwV3d,,
0x8D2FB8,,byte_8D2FB8,byte_8D2FB8,char[],array,
0x8D2FF0,,dword_8D2FF0,dword_8D2FF0,_DWORD,,
0x8D3038,,byte_8D3038,byte_8D3038,char[],array,
0x8D3168,,y,y,float,,
0x8D318C,,g_vTankShotDoom,g_vTankShotDoom,RwV3d,,
0x8D3198,,g_vTankShotDefaultTarget,g_vTankShotDefaultTarget,RwV3d,,
0x8D31A4,,g_vRcTigerShotOffset,g_vRcTigerShotOffset,RwV3d,,
0x8D31D8,,miscComponentIDs,miscComponentIDs,unsigned int[4],array,
0x8D322C,,dword_8D322C,dword_8D322C,float,,
0x8D3244,,stru_8D3244,stru_8D3244,CVector,,
0x8D3250,,stru_8D3250,stru_8D3250,CVector,,
0x8D325C,,stru_8D325C,stru_8D325C,CVector,,
0x8D3274,,stru_8D3274,stru_8D3274,CVector,,
0x8D3298,,flt_8D3298,flt_8D3298,float,,
0x8D329C,,dword_8D329C,dword_8D329C,float,,
0x8D32A0,,CarComponentDamageMP,CarComponentDamageMP,float[10],array,
0x8D33CC,,_ZN6CPlane20PLANE_MIN_PROP_SPEEDE,CPlane::PLANE_MIN_PROP_SPEED,const float,,
0x8D33F0,,vecRCBaronGunPos,vecRCBaronGunPos,CVector,,
0x8D33FC,,a8,a8,float,,
0x8D3400,,a9,a9,float,,
0x8D3454,,QUAD_HBSTEER_ANIM_MULT,QUAD_HBSTEER_ANIM_MULT,float,,
0x8D3458,,vecQuadResistance,vecQuadResistance,CVector,,
0x8D3464,,_ZN8CTrailer25m_fTrailerSuspensionForceE,CTrailer::m_fTrailerSuspensionForce,float,,
0x8D34E8,,AUTOGYRO_ROTORTILT_ANGLE,AUTOGYRO_ROTORTILT_ANGLE,float,,
0x8D34F0,,dword_8D34F0,dword_8D34F0,int,,
0x8D34F4,,dword_8D34F4,dword_8D34F4,int,,
0x8D3514,,aDriveAnimIdsLow,aDriveAnimIdsLow,CRideAnims,,
0x8D3524,,aDriveAnimIdsBoat,aDriveAnimIdsBoat,CRideAnims,,
0x8D3534,,aDriveAnimIdsBad,aDriveAnimIdsBad,CRideAnims,,
0x8D3544,,aDriveAnimIdsBadSlow,aDriveAnimIdsBadSlow,CRideAnims,,
0x8D3554,,aDriveAnimIdsStd,aDriveAnimIdsStd,CRideAnims,,
0x8D3564,,aDriveAnimIdsStdSlow,aDriveAnimIdsStdSlow,CRideAnims,,
0x8D3574,,aDriveAnimIdsPro,aDriveAnimIdsPro,CRideAnims,,
0x8D3584,,aDriveAnimIdsProSlow,aDriveAnimIdsProSlow,CRideAnims,,
0x8D3594,,aDriveAnimIdsTruck,aDriveAnimIdsTruck,CRideAnims,,
0x8D35A4,,aDriveAnimIdsKart,aDriveAnimIdsKart,CRideAnims,,
0x8D35D4,,VehicleGunOffset,VehicleGunOffset,RwV3d[12],array,
0x8D38C8,,flt_8D38C8,flt_8D38C8,float[],array,
0x8D38E8,,flt_8D38E8,flt_8D38E8,float[],array,
0x8D390C,,flt_8D390C,flt_8D390C,float[],array,
0x8D3910,,flt_8D3910,flt_8D3910,float[],array,
0x8D3978,,VehicleNames,VehicleNames,char[14][210],array,
0x8D44F8,,dword_8D44F8,dword_8D44F8,_DWORD[256],array,
0x8D48F8,,_ZN6CTrain13aStationCoorsE,CTrain::aStationCoors,CVector,,
0x8D4948,,index,index,int,,
0x8D4A58,,_coronaTexturesAlphaMasks,_coronaTexturesAlphaMasks,char[260],array,
0x8D4B5C,,_ZN8CCoronas10LightsMultE,CCoronas::LightsMult,float,,
0x8D5028,,word_8D5028,word_8D5028,__int16[],array,
0x8D503C,,word_8D503C,word_8D503C,RwImVertexIndex,,
0x8D5068,,flt_8D5068,flt_8D5068,float[],array,
0x8D50BC,,_ZN12CPostEffects30m_fInfraredVisionHeatObjectColE,CPostEffects::m_fInfraredVisionHeatObjectCol,RwRGBAReal,,
0x8D5194,,dword_8D5194,dword_8D5194,int[],array,
0x8D5198,,dword_8D5198,dword_8D5198,int[],array,
0x8D519C,,dword_8D519C,dword_8D519C,int[],array,
0x8D5250,,BIRD_CREATION_COORS_X,BIRD_CREATION_COORS_X,float,,
0x8D5268,,BIRD_CREATION_COORS_Y,BIRD_CREATION_COORS_Y,float[],array,
0x8D5280,,BIRD_CREATION_COORS_Z,BIRD_CREATION_COORS_Z,float[6],array,
0x8D5298,,dword_8D5298,dword_8D5298,int[],array,
0x8D52B8,,dword_8D52B8,dword_8D52B8,int[],array,
0x8D52D8,,dword_8D52D8,dword_8D52D8,float[],array,
0x8D5370,,RAINBOW_LINES_COLOR_RED,RAINBOW_LINES_COLOR_RED,char[],array,
0x8D5378,,RAINBOW_LINES_COLOR_GREEN,RAINBOW_LINES_COLOR_GREEN,char[],array,
0x8D5380,,RAINBOW_LINES_COLOR_BLUE,RAINBOW_LINES_COLOR_BLUE,char[],array,
0x8D5388,,_ZN7CClouds25m_fVolumetricCloudDensityE,CClouds::m_fVolumetricCloudDensity,float,,
0x8D5394,,LOW_CLOUDS_X_COORDS,LOW_CLOUDS_X_COORDS,float[],array,
0x8D53C4,,LOW_CLOUDS_Y_COORDS,LOW_CLOUDS_Y_COORDS,float[],array,
0x8D53F4,,LOW_CLOUDS_Z_COORDS,LOW_CLOUDS_Z_COORDS,float[],array,
0x8D55EC,,STARS_Y_POSITIONS,STARS_Y_POSITIONS,float[9],array,
0x8D5610,,STARS_Z_POSITIONS,STARS_Z_POSITIONS,float[9],array,
0x8D5634,,STAR_SIZES,STAR_SIZES,float[9],array,
0x8D579C,,someIndices,someIndices,RwImVertexIndex,,
0x8D57A0,,flt_8D57A0,flt_8D57A0,float[],array,
0x8D5818,,flt_8D5818,flt_8D5818,float[],array,
0x8D5AD8,,l10nTransTable,l10nTransTable,char[],array,
0x8D5B98,,word_8D5B98,word_8D5B98,RwImVertexIndex,,
0x8D5CD8,,flt_8D5CD8,flt_8D5CD8,float[],array,
0x8D5CDC,,flt_8D5CDC,flt_8D5CDC,float[],array,
0x8D5CE0,,flt_8D5CE0,flt_8D5CE0,float[],array,
0x8D5CE4,,flt_8D5CE4,flt_8D5CE4,float[],array,
0x8D5CE8,,flt_8D5CE8,flt_8D5CE8,float[],array,
0x8D5CEC,,flt_8D5CEC,flt_8D5CEC,float[],array,
0x8D5DD8,,Screens8Track,Screens8Track,float[24],array,
0x8D5E38,,indices,indices,__int16[6],array,
0x8D5E50,,Windyness,Windyness,float[],array,
0x8D5FF4,,flt_8D5FF4,flt_8D5FF4,float[],array,
0x8D5FF8,,flt_8D5FF8,flt_8D5FF8,float[],array,
0x8D6038,,flt_8D6038,flt_8D6038,float[],array,
0x8D6098,,leftWeaponTranslVector,leftWeaponTranslVector,RwV3d,,
0x8D60A4,,_ZN6CPedIK7XaxisIKE,CPedIK::XaxisIK,RwV3d,,
0x8D60B0,,rightWeaponTranslVector,rightWeaponTranslVector,RwV3d,,
0x8D60C0,,FullLight,FullLight,RwRGBAReal,,
0x8D60D0,,IndicateR,IndicateR,char[8],array,
0x8D60D8,,IndicateG,IndicateG,char[8],array,
0x8D60E0,,IndicateB,IndicateB,char[8],array,
0x8D6120,,SHOTGUN_NUM_PELLETS,SHOTGUN_NUM_PELLETS,signed int,,
0x8D612C,,fReloadAnimSampleFraction,fReloadAnimSampleFraction,float[5],array,
0x8D6144,,byte_8D6144,byte_8D6144,char[],array,
0x8D6150,,_ZN11CWeaponInfo15ms_aWeaponNamesE,CWeaponInfo::ms_aWeaponNames,char *[],array,
0x8D6220,,GcurSelVM,GcurSelVM,WPARAM,,
0x8D6224,,AppClassName,AppClassName,LPCSTR,,
0x8D624C,,_atomicTKList,_atomicTKList,int,,
0x8D6264,,_clumpTKList,_clumpTKList,RwPluginRegistry,,
0x8D627C,,__rpAtomicFreeListBlockSize,__rpAtomicFreeListBlockSize,int,,
0x8D6280,,__rpAtomicFreeListPreallocBlocks,__rpAtomicFreeListPreallocBlocks,int,,
0x8D6284,,__rpClumpFreeListBlockSize,__rpClumpFreeListBlockSize,int,,
0x8D6288,,__rpClumpFreeListPreallocBlocks,__rpClumpFreeListPreallocBlocks,int,,
0x8D628C,,_geometryTKList,_geometryTKList,RwPluginRegistry,,
0x8D62A4,,_materialTKList,_materialTKList,int,,
0x8D62BC,,_defaultSurfaceProperties,_defaultSurfaceProperties,RwSurfaceProperties,,
0x8D62C8,,__rpMaterialFreeListBlockSize,__rpMaterialFreeListBlockSize,int,,
0x8D62CC,,__rpMaterialFreeListPreallocBlocks,__rpMaterialFreeListPreallocBlocks,int,,
0x8D62D0,,_worldTKList,_worldTKList,char *,,
0x8D62E8,,__rpTieFreeListBlockSize,__rpTieFreeListBlockSize,int,,
0x8D62EC,,__rpTieFreeListPreallocBlocks,__rpTieFreeListPreallocBlocks,int,,
0x8D62F0,,__rpLightTieFreeListBlockSize,__rpLightTieFreeListBlockSize,int,,
0x8D62F4,,__rpLightTieFreeListPreallocBlocks,__rpLightTieFreeListPreallocBlocks,int,,
0x8D62F8,,_lightTKList,_lightTKList,int,,
0x8D6310,,__rpLightFreeListBlockSize,__rpLightFreeListBlockSize,int,,
0x8D6314,,__rpLightFreeListPreallocBlocks,__rpLightFreeListPreallocBlocks,int,,
0x8D6338,,?nodeD3D9AtomicAllInOneCSL@?1??RxNodeDefinitionGetD3D9AtomicAllInOne@@9@9,`RxNodeDefinitionGetD3D9AtomicAllInOne'::`2'::nodeD3D9AtomicAllInOneCSL,RxNodeDefinition,,
0x8D736C,,_sectorTKList,_sectorTKList,char *,,
0x8D7384,,_Id,_Id,void,,
0x8D7390,,_D3D9Transform,_D3D9Transform,D3DMATRIX,,
0x8D73D0,,_D3D9InverseTransform,nverseTransform D9I,RwMatrixTag,,
0x8D7450,,_D3D9NormalizedTransform,_D3D9NormalizedTransform,RwMatrixTag,,
0x8D74A0,,off_8D74A0,off_8D74A0,"int (__stdcall *)(_DWORD, _DWORD, _DWORD)",function,
0x8D74A4,,off_8D74A4,off_8D74A4,"int (__stdcall *)(_DWORD, _DWORD, _DWORD)",function,
0x8D7524,,off_8D7524,off_8D7524,"int (__stdcall *)(_DWORD, _DWORD)",function,
0x8DE2C0,,dword_8DE2C0,dword_8DE2C0,unsigned int[4],array,
0x8DE440,,dword_8DE440,dword_8DE440,unsigned int[4],array,
0x8DECD8,,__rpHAnimHierarchyFreeListBlockSize,__rpHAnimHierarchyFreeListBlockSize,int,,
0x8DECDC,,__rpHAnimHierarchyFreeListPreallocBlocks,__rpHAnimHierarchyFreeListPreallocBlocks,int,,
0x8DECE0,,__rpSkinFreeListBlockSize,__rpSkinFreeListBlockSize,int,,
0x8DECE4,,__rpSkinFreeListPreallocBlocks,__rpSkinFreeListPreallocBlocks,int,,
0x8DED08,,?nodeD3D9SkinAtomicAllInOneCSL@?1??RxNodeDefinitionGetD3D9SkinAtomicAllInOne@@9@9,`RxNodeDefinitionGetD3D9SkinAtomicAllInOne'::`2'::nodeD3D9SkinAtomicAllInOneCSL,RxNodeDefinition,,
0x8DED48,,__rpUVAnimCustomDataFreeListBlockSize,__rpUVAnimCustomDataFreeListBlockSize,int,,
0x8DED4C,,__rpUVAnimCustomDataFreeListPreallocBlocks,__rpUVAnimCustomDataFreeListPreallocBlocks,int,,
0x8DEDEC,,__rtAnimAnimationFreeListBlockSize,__rtAnimAnimationFreeListBlockSize,int,,
0x8DEDF0,,__rtAnimAnimationFreeListPreallocBlocks,__rtAnimAnimationFreeListPreallocBlocks,int,,
0x8E21B8,,dword_8E21B8,dword_8E21B8,int[],array,
0x8E21FC,,aInvalidCombina,aInvalidCombina,char[],array,
0x8E2218,,__rwStreamFreeListBlockSize,__rwStreamFreeListBlockSize,int,,
0x8E221C,,__rwStreamFreeListPreallocBlocks,__rwStreamFreeListPreallocBlocks,int,,
0x8E222C,,_cameraTKList,_cameraTKList,int,,
0x8E2244,,__rwCameraFreeListBlockSize,__rwCameraFreeListBlockSize,int,,
0x8E2248,,__rwCameraFreeListPreallocBlocks,__rwCameraFreeListPreallocBlocks,int,,
0x8E224C,,aInvalidProject,aInvalidProject,char[],array,
0x8E2270,,_frameTKList,_frameTKList,RwPluginRegistry,,
0x8E2288,,__rwFrameFreeListBlockSize,__rwFrameFreeListBlockSize,int,,
0x8E228C,,__rwFrameFreeListPreallocBlocks,__rwFrameFreeListPreallocBlocks,int,,
0x8E2290,,__rwMatrixFreeListBlockSize,__rwMatrixFreeListBlockSize,int,,
0x8E2294,,__rwMatrixFreeListPreallocBlocks,__rwMatrixFreeListPreallocBlocks,int,,
0x8E2298,,_engineTKList,_engineTKList,char *,,
0x8E23CC,,_textureTKList,_textureTKList,RwPluginRegistry,,
0x8E23E4,,_texDictTKList,_texDictTKList,RwPluginRegistry,,
0x8E23FC,,__rwTextureFreeListBlockSize,__rwTextureFreeListBlockSize,int,,
0x8E2400,,__rwTextureFreeListPreallocBlocks,__rwTextureFreeListPreallocBlocks,int,,
0x8E2404,,__rwTexDictionaryFreeListBlockSize,__rwTexDictionaryFreeListBlockSize,int,,
0x8E2408,,__rwTexDictionaryFreeListPreallocBlocks,__rwTexDictionaryFreeListPreallocBlocks,int,,
0x8E2444,,__rwD3D9LastVertexDeclarationUsed,__rwD3D9LastVertexDeclarationUsed,IDirect3DVertexDeclaration9 *,,
0x8E2450,,__rwD3D9LastIndexBufferUsed,__rwD3D9LastIndexBufferUsed,IDirect3DIndexBuffer9 *,,
0x8E2458,,__RwD3D9D3D9ProjTransform,__RwD3D9D3D9ProjTransform,D3DMATRIX,,
0x8E24D0,,stru_8E24D0,stru_8E24D0,RwMatrix,,
0x8E2518,,_rasterTKList,_rasterTKList,int,,
0x8E2530,,__rwRasterFreeListBlockSize,__rwRasterFreeListBlockSize,int,,
0x8E2534,,__rwRasterFreeListPreallocBlocks,__rwRasterFreeListPreallocBlocks,int,,
0x8E2538,,stru_8E2538,stru_8E2538,D3DMATERIAL9,,
0x8E257C,,aConversionFromR,aConversionFromR,char[],array,
0x8E25B8,,aConversionFromN,aConversionFromN,char[],array,
0x8E2600,,aConversionFromC,aConversionFromC,char[],array,
0x8E2638,,aConversionToCom,aConversionToCom,char[],array,
0x8E2670,,dword_8E2670,dword_8E2670,int,,
0x8E2688,,entriesPerBlock,entriesPerBlock,int,,
0x8E268C,,numBlocksToPreallocate,numBlocksToPreallocate,int,,
0x8E2694,,dword_8E2694,dword_8E2694,int,,
0x8E26A0,,__rxPipesFreeListBlockSize,__rxPipesFreeListBlockSize,int,,
0x8E26A4,,__rxPipesFreeListPreallocBlocks,__rxPipesFreeListPreallocBlocks,int,,
0x8E26AC,,__rwPluginRegFreeListBlockSize,__rwPluginRegFreeListBlockSize,int,,
0x8E26B0,,__rwPluginRegListPreallocBlocks,__rwPluginRegListPreallocBlocks,int,,
0x8E26D8,,dword_8E26D8,dword_8E26D8,int,,
0x8E26DC,,dword_8E26DC,dword_8E26DC,int,,
0x8E2918,,nodeDef_TransformIm3d,nodeDef_TransformIm3d,RxNodeDefinition,,
0x8E2978,,nodeDef_RenderIm3d,nodeDef_RenderIm3d,RxNodeDefinition,,
0x8E29B8,,__rpMatFXMaterialDataFreeListBlockSize,__rpMatFXMaterialDataFreeListBlockSize,int,,
0x8E29BC,,__rpMatFXMaterialDataFreeListPreallocBlocks,__rpMatFXMaterialDataFreeListPreallocBlocks,int,,
0x8E29C8,,?texMat@?1??ApplyAnimTextureMatrix@@9@9,`ApplyAnimTextureMatrix'::`2'::texMat,void,,
0x8E2A08,,off_8E2A08,off_8E2A08,int (*)(void),function,
0x8E2A0C,,off_8E2A0C,off_8E2A0C,int (*)(void),function,
0x8E2A18,,aThequicktimedi,aThequicktimedi,char[],array,
0x8E2A30,,a_callcompone_0,a_callcompone_0,char[],array,
0x8E2A40,,a_callcomponent,a_callcomponent,char[],array,
0x8E2A64,,aQuicktime_qts,aQuicktime_qts,char[],array,
0x8E2A74,,aQtmlinittermmu,aQtmlinittermmu,char[],array,
0x8E2A90,,aQuicktime_qtsF,aQuicktime_qtsF,char[],array,
0x8E2AA8,,aSoftwareAppleC,aSoftwareAppleC,char[],array,
0x8E2AF8,,aSourcesdrive,aSourcesdrive,char[],array,
0x8E2B08,,aDonotloadfrombuildre,aDonotloadfrombuildre,char[],array,
0x8E2B74,,off_8E2B74,off_8E2B74,int (*)(void),function,
0x8E2C70,,stru_8E2C70,stru_8E2C70,FILE,,
0x8E2F40,,aC_4,aC_4,char[],array,
0x8E2FC8,,Str1,Str1,char[],array,
0x8E3054,,dword_8E3054,dword_8E3054,void *,,
0x8E3110,,___flsindex,___flsindex,DWORD,,
0x8E31C0,,__locktable,__locktable,LPCRITICAL_SECTION,,
0x8E37D0,,dword_8E37D0,dword_8E37D0,int,,
0x8E3B78,,lpMultiByteStr,lpMultiByteStr,LPSTR,,
0x8E3B7C,,off_8E3B7C,off_8E3B7C,LPSTR,,
0x8E3EFC,,ppCurrIplInstance,ppCurrIplInstance,CEntity **,,
0x8E3F08,,IplEntityIndexArrays,IplEntityIndexArrays,int *[40],array,
0x8E3FAC,,_ZN9CIplStore12ms_pQuadTreeE,CIplStore::ms_pQuadTree,CQuadTreeNode *,,
0x8E3FB0,,_ZN9CIplStore8ms_pPoolE,CIplStore::ms_pPool,CPool *,,
0x8E3FD0,,gvecIplsNeededAtPosn,gvecIplsNeededAtPosn,CVector,,
0x8E3FEC,,_requestQueue,_requestQueue,HLOCAL,,
0x8E3FFC,,_streams,_streams,GTA_STREAM *,,
0x8E4000,,_streamingThreadId,_streamingThreadId,DWORD,,
0x8E4004,,_streamSemaphore,_streamSemaphore,HANDLE,,
0x8E4008,,_streamingThread,_streamingThread,HANDLE,,
0x8E4010,,_streamHandles,_streamHandles,HANDLE[32],array,
0x8E4098,,gCdImageNames,gCdImageNames,__int16[32][32],array,
0x8E48AC,,stru_8E48AC,stru_8E48AC,RwStream,,
0x8E4900,,byte_8E4900,byte_8E4900,_BYTE[4],array,
0x8E4904,,dword_8E4904,dword_8E4904,_DWORD[84],array,
0x8E4A60,,_ZN10CStreaming10ms_channelE,CStreaming::ms_channel,CStreamingChannel[2],array,
0x8E4C00,,_ZN10CStreaming13ms_pedsLoadedE,CStreaming::ms_pedsLoaded,int[8],array,
0x8E4C24,,_ZN10CStreaming17ms_vehiclesLoadedE,CStreaming::ms_vehiclesLoaded,CLoadedCarGroup,,
0x8E4C54,,_ZN10CStreaming20ms_pEndRequestedListE,CStreaming::ms_pEndRequestedList,CStreamingInfo *,,
0x8E4C58,,_ZN10CStreaming22ms_pStartRequestedListE,CStreaming::ms_pStartRequestedList,CStreamingInfo *,,
0x8E4C60,,_ZN10CStreaming18ms_startLoadedListE,CStreaming::ms_startLoadedList,CStreamingInfo *,,
0x8E4C8C,,dword_8E4C8C,dword_8E4C8C,int[],array,
0x8E4CAC,,_ZN10CStreaming19ms_pStreamingBufferE,CStreaming::ms_pStreamingBuffer,unsigned __int8 *,,
0x8E4CC0,,_ZN10CStreaming16ms_aInfoForModelE,CStreaming::ms_aInfoForModel,CStreamingInfo[],array,
0x964E08,,byte_964E08,byte_964E08,_BYTE[1620],array,
0x9654B4,,_ZN14CStreamingInfo13ms_pArrayBaseE,CStreamingInfo::ms_pArrayBase,CStreamingInfo *,,
0x965534,,NumberOfBytesRead,NumberOfBytesRead,DWORD,,
0x96555C,,_ZN9CColStore12ms_pQuadTreeE,CColStore::ms_pQuadTree,CQuadTreeNode *,,
0x965560,,_ZN9CColStore11ms_pColPoolE,CColStore::ms_pColPool,CPool *,,
0x9655A0,,gpMadeInvisibleEntities,gpMadeInvisibleEntities,CEntity *,,
0x96592C,,stru_96592C,stru_96592C,CLink_CCollisionData_,,
0x96595C,,colLinksSpool,colLinksSpool,CLink_CCollisionData_ *,,ptr to CollisionLink[50]
0x965960,,m,m,CMatrix,,
0x9659B0,,stru_9659B0,stru_9659B0,CMatrix,,
0x9659FC,,tempStoredCollPoly,tempStoredCollPoly,CStoredCollPoly,,
0x965A30,,dword_965A30,dword_965A30,int[],array,
0x965B30,,dword_965B30,dword_965B30,int[],array,
0x966490,,dword_966490,dword_966490,int[],array,
0x9664D0,,dword_9664D0,dword_9664D0,int[],array,
0x9664E0,,dword_9664E0,dword_9664E0,int[],array,
0x9664E4,,dword_9664E4,dword_9664E4,int[],array,
0x9664E8,,dword_9664E8,dword_9664E8,int[],array,
0x9666E0,,gCollidedTris2IDs,gCollidedTris2IDs,int[],array,
0x967040,,gCollidedBoxes2IDs,gCollidedBoxes2IDs,int[],array,
0x967140,,gCollidedSphere2IDs,gCollidedSphere2IDs,int[],array,
0x967340,,gCol2Spheres,gCol2Spheres,CColSphere[128],array,
0x967D40,,gnCollidedSpheres1IDs,gnCollidedSpheres1IDs,int[],array,
0x967F40,,gCol1Spheres,gCol1Spheres,CColSphere[128],array,
0x968940,,gInvertedM1,gInvertedM1,CMatrix,,
0x968988,,gInvertedM2,gInvertedM2,CMatrix,,
0x9689E0,,CCollisionPlugin__ms_currentModel,CCollisionPlugin__ms_currentModel,CBaseModelInfo *,,
0x968A00,,_ZN14CTempColModels15ms_colModelBBoxE,CTempColModels::ms_colModelBBox,CColModel,,
0x968A30,,_ZN14CTempColModels17ms_colModelCutObjE,CTempColModels::ms_colModelCutObj,void,,
0x968DF0,,_colModelPeds,_colModelPeds,CColModel,,
0x968E20,,stru_968E20,stru_968E20,CColModel,,
0x968E50,,_ZN14CTempColModels16ms_colModelDoor1E,CTempColModels::ms_colModelDoor1,CColModel,,
0x968E80,,_ZN14CTempColModels18ms_colModelBumper1E,CTempColModels::ms_colModelBumper1,CColModel,,
0x968EB0,,_ZN14CTempColModels17ms_colModelPanel1E,CTempColModels::ms_colModelPanel1,CColModel,,
0x968EE0,,_ZN14CTempColModels18ms_colModelBonnet1E,CTempColModels::ms_colModelBonnet1,CColModel,,
0x968F10,,_ZN14CTempColModels16ms_colModelBoot1E,CTempColModels::ms_colModelBoot1,CColModel,,
0x968F40,,_ZN14CTempColModels17ms_colModelWheel1E,CTempColModels::ms_colModelWheel1,CColModel,,
0x968F70,,_ZN14CTempColModels20ms_colModelBodyPart1E,CTempColModels::ms_colModelBodyPart1,CColModel,,
0x968FA0,,_ZN14CTempColModels20ms_colModelBodyPart2E,CTempColModels::ms_colModelBodyPart2,CColModel,,
0x968FD0,,_ZN14CTempColModels17ms_colModelWeaponE,CTempColModels::ms_colModelWeapon,CColModel,,
0x969110,,_ZN6CCheat13m_CheatStringE,CCheat::m_CheatString,char[],array,
0x969111,,byte_969111,byte_969111,char[],array,
0x969112,,byte_969112,byte_969112,char[],array,
0x969130,,_ZN6CCheat15m_aCheatsActiveE,CCheat::m_aCheatsActive,cheatTable,,
0x9691C0,,_ZN25CPedToPlayerConversations6m_pPedE,CPedToPlayerConversations::m_pPed,eClothesModelPart *,,
0x9691CC,,dword_9691CC,dword_9691CC,eClothesModelPart *,,
0x969368,,dword_969368,dword_969368,int[],array,
0x969370,,byte_969370,byte_969370,char[],array,
0x969378,,dword_969378,dword_969378,int[],array,
0x969380,,dword_969380,dword_969380,int[],array,
0x969384,,dword_969384,dword_969384,int[],array,
0x969388,,dword_969388,dword_969388,int[],array,
0x969570,,dword_969570,dword_969570,char,,
0x969578,,word_969578,word_969578,__int16[],array,
0x96957A,,word_96957A,word_96957A,__int16[],array,
0x96957C,,dword_96957C,dword_96957C,int[],array,
0x969580,,dword_969580,dword_969580,int[],array,
0x969584,,dword_969584,dword_969584,int[],array,
0x969A40,,dword_969A40,dword_969A40,eClothesModelPart *,,
0x96A6D0,,_ZN7CDarkel13pStartMessageE,CDarkel::pStartMessage,char *,,
0x96A718,,dword_96A718,dword_96A718,int[],array,
0x96A71C,,dword_96A71C,dword_96A71C,int[],array,
0x96A720,,dword_96A720,dword_96A720,int[],array,
0x96A738,,dword_96A738,dword_96A738,int[],array,
0x96A7C0,,_ZN10CEntryExit13ms_spawnPointE,CEntryExit::ms_spawnPoint,CEntryExit *,,
0x96A7D0,,_ZN17CEntryExitManager11mp_QuadTreeE,CEntryExitManager::mp_QuadTree,CQuadTreeNode *,,
0x96A7D8,,_ZN17CEntryExitManager17mp_poolEntryExitsE,CEntryExitManager::mp_poolEntryExits,void *,,
0x96A7FC,,byte_96A7FC,byte_96A7FC,char[],array,
0x96A898,,_ZN10CGameLogic11SkipVehicleE,CGameLogic::SkipVehicle,CVehicle *,,
0x96A8D4,,X,X,CVector,,
0x96A9B8,,stru_96A9B8,stru_96A9B8,void,,
0x96AB28,,dword_96AB28,dword_96AB28,eClothesModelPart *,,
0x96AB68,,dword_96AB68,dword_96AB68,int[],array,
0x96AB88,,dword_96AB88,dword_96AB88,char *,,
0x96ABC8,,what,what,CVector,,
0x96C014,,_ZN8CGarages15MessageIDStringE,CGarages::MessageIDString,char[],array,
0x96C048,,_ZN8CGarages8aGaragesE,CGarages::aGarages,void,,
0x96EA98,,dword_96EA98,dword_96EA98,_WORD[16],array,
0x96EAC0,,byte_96EAC0,byte_96EAC0,char[],array,
0x96EAC1,,byte_96EAC1,byte_96EAC1,char[],array,
0x96EAC2,,byte_96EAC2,byte_96EAC2,char[],array,
0x96EAC3,,byte_96EAC3,byte_96EAC3,char[],array,
0x96EAC4,,byte_96EAC4,byte_96EAC4,char[],array,
0x96EAC5,,byte_96EAC5,byte_96EAC5,char[],array,
0x96EC40,,byte_96EC40,byte_96EC40,char[],array,
0x96EC80,,ZCoorGiven,ZCoorGiven,float[],array,
0x96ED80,,YCoorGiven,YCoorGiven,float[],array,
0x96EE80,,XCoorGiven,XCoorGiven,float[],array,
0x96EF90,,ToBeStreamedForScript,ToBeStreamedForScript,char[8][8],array,
0x96EFD0,,ToBeStreamed,ToBeStreamed,char[8][8],array,
0x96F010,,DummyResult2,DummyResult2,signed __int16,,
0x96F050,,ThePaths,ThePaths,CPathFind,,
0x977B70,,stru_977B70,stru_977B70,CVector,,
0x978680,,_ZN8CPickups9aMessagesE,CPickups::aMessages,CPickupText[16],array,
0x9788C0,,_ZN8CPickups8aPickUpsE,CPickups::aPickUps,CPickup[],array,
0x97D660,,_ZN8CPickups14StaticCamCoorsE_ptr,_ZN8CPickups14StaticCamCoorsE_ptr,CVector,,
0x97D670,,_ZN17CVehicleRecording22PlayBackStreamingIndexE,CVehicleRecording::PlayBackStreamingIndex,int[],array,
